Round,Rank,Value,Name,Team,Pos,Inj,g,m/g,p/g,3/g,r/g,a/g,s/g,b/g,fg%,fga/g,ft%,fta/g,to/g,pV,3V,rV,aV,sV,bV,fg%V,ft%V,toV
1,1,1.061421861,Chris Paul,NOR,PG,,78,38.52564103,22.83333333,0.820512821,5.538461538,11.02564103,2.769230769,0.128205128,0.502788845,16.08974359,0.868320611,6.717948718,2.961538462,1.580861783,-0.167372819,-0.070028539,3.726207935,4.445357958,-0.89299033,1.052119916,1.487302923,-1.608662077
1,2,0.852630305,LeBron James,CLE,SF,,81,37.58024691,28.44444444,1.62962963,7.567901235,7.24691358,1.691358025,1.148148148,0.489150651,19.91358025,0.779527559,9.407407407,2.975308642,2.70799218,0.867138115,0.73716985,1.938074734,1.735892209,0.835908596,0.770899189,-0.289929906,-1.629472223
1,3,0.784626146,Dwyane Wade,MIA,PG/SG,,79,38.58227848,30.20253165,1.113924051,5.037974684,7.455696203,2.202531646,1.316455696,0.491086832,22.01265823,0.765239948,9.759493671,3.455696203,3.061147461,0.207773417,-0.269094411,2.036872846,3.020837417,1.12120565,0.93528127,-0.696931768,-2.355456567
1,4,0.600268331,Danny Granger,IND,SG/SF,,67,36.20895522,25.79104478,2.71641791,5.089552239,2.71641791,1.014925373,1.447761194,0.447492163,19.04477612,0.87826087,6.865671642,2.462686567,2.174991253,2.256670932,-0.248579724,-0.205803025,0.035532764,1.343780764,-0.813410792,1.714006369,-0.85477356
1,5,0.51989342,Kobe Bryant,LAL,SG,,82,36.06097561,26.84146341,1.43902439,5.231707317,4.865853659,1.475609756,0.451219512,0.46728972,20.87804878,0.856382979,6.87804878,2.56097561,2.385993808,0.623436338,-0.19203833,0.811332368,1.193562377,-0.345450702,-0.083966179,1.289483697,-1.003312598
1,6,0.495004517,Dirk Nowitzki,DAL,PF,,81,37.66666667,25.83950617,0.75308642,8.407407407,2.432098765,0.75308642,0.777777778,0.478960396,19.95061728,0.889705882,6.716049383,1.938271605,2.184725923,-0.253582063,1.071078777,-0.340345807,-0.622655951,0.208096137,0.374950914,1.895025656,-0.062252929
1,7,0.393370669,Troy Murphy,IND,PF/C,,73,34.02739726,14.26027397,2.205479452,11.79452055,2.369863014,0.794520548,0.465753425,0.474576271,10.50684932,0.826086957,2.520547945,1.561643836,-0.141249151,1.603401323,2.418284252,-0.369796413,-0.518502328,-0.320814359,0.10825922,0.253828755,0.506924723
1,8,0.37509555,Kevin Durant,OKC,SG/SF,Off Injury Report - left knee injury management,74,39.01351351,25.25675676,1.310810811,6.513513514,2.77027027,1.27027027,0.716216216,0.475504323,18.75675676,0.86259542,7.081081081,3.054054054,2.067666295,0.459506546,0.317792979,-0.180319527,0.677397267,0.103743525,0.225910565,1.452638304,-1.748476005
1,9,0.373276214,Kevin Garnett,BOS,PF,,57,31.0877193,15.77192982,0.035087719,8.50877193,2.526315789,1.105263158,1.192982456,0.531081081,12.98245614,0.840909091,2.315789474,1.578947368,0.162404301,-1.171592291,1.111395953,-0.295761329,0.262616281,0.911906946,1.567209841,0.330531414,0.480774808
1,10,0.373107754,Al Jefferson,MIN,PF/C,,50,36.64,23.16,0,10.96,1.56,0.78,1.66,0.498461538,19.5,0.738095238,5.04,1.84,1.64648086,-1.216454329,2.08635833,-0.75303203,-0.555002859,1.703545414,1.109811121,-0.749996477,0.086259756
