Round,Rank,Value,Name,Team,Pos,Inj,g,m/g,p/g,3/g,r/g,a/g,s/g,b/g,fg%,fga/g,ft%,fta/g,to/g,pV,3V,rV,aV,sV,bV,fg%V,ft%V,toV
1,1,1.244616305,Anthony Davis,NOR,PF/C,,75,36.36466667,28.13333333,0.733333333,11.09333333,2.32,1.533333333,2.573333333,0.533515732,19.49333333,0.827759197,7.973333333,2.16,2.590088013,-0.832060277,2.10660894,-0.40892684,1.231803641,3.889356147,2.156635754,0.858864441,-0.390823077
1,2,0.941019174,Stephen Curry,GSW,PG/SG,,51,31.98006536,26.39215686,4.156862745,5.117647059,6.078431373,1.568627451,0.156862745,0.49537037,16.94117647,0.920529801,5.921568627,3,2.243971386,2.958034138,-0.189150727,1.416959529,1.314681006,-0.981808253,0.765588666,2.361489293,-1.420592477
1,3,0.91905848,Kevin Durant,GSW,SF/PF,Off Injury Report - left knee injury management,68,34.19289216,26.35294118,2.544117647,6.823529412,5.382352941,0.735294118,1.75,0.515548282,17.97058824,0.888613861,5.941176471,3.044117647,2.236175967,1.172608791,0.466221012,1.078797144,-0.642145659,2.229666167,1.434793967,1.770085938,-1.474677004
1,4,0.914012614,James Harden,HOU,PG/SG,,72,35.42847222,30.43055556,3.680555556,5.402777778,8.75,1.75,0.694444444,0.449275362,20.125,0.858321871,10.09722222,4.375,3.046737193,2.430727665,-0.079608228,2.714836292,1.740578574,0.1018585,-0.699240071,2.076450514,-3.106226912
1,5,0.796014981,Karl-Anthony Towns,MIN,C,Injured - calf strain (0g) - 1/13/2023,82,35.58699187,21.25609756,1.463414634,12.34146341,2.426829268,0.780487805,1.402439024,0.545221843,14.29268293,0.858208955,4.902439024,1.93902439,1.223009093,-0.023807528,2.586119839,-0.357028033,-0.536022204,1.529046569,1.882052851,0.980689792,-0.119925551
1,6,0.719695997,LeBron James,CLE,SF/PF,,82,36.90020325,27.45121951,1.817073171,8.646341463,9.109756098,1.414634146,0.865853659,0.542405063,19.26829268,0.730696798,6.475609756,4.231707317,2.454495247,0.367718025,1.166515203,2.889609672,0.95307516,0.447388243,2.427709986,-1.298685434,-2.930562126
1,7,0.672993789,Giannis Antetokounmpo,MIL,SF/PF,,75,36.75,26.85333333,0.573333333,10.04,4.813333333,1.453333333,1.413333333,0.529243937,18.69333333,0.75975039,8.546666667,2.973333333,2.33564552,-1.009191838,1.701935724,0.8023613,1.043948281,1.551007511,1.93226391,-0.913124924,-1.387901385
1,8,0.616313555,Damian Lillard,POR,PG,,73,36.57488584,26.87671233,3.109589041,4.452054795,6.589041096,1.054794521,0.369863014,0.438869258,19.38356164,0.916356877,7.369863014,2.821917808,2.340292871,1.79862648,-0.444860248,1.665019223,0.10810263,-0.552438522,-1.019719109,2.854077348,-1.202278677
1,9,0.615743541,Chris Paul,HOU,PG,,58,31.83850575,18.63793103,2.482758621,5.396551724,7.879310345,1.655172414,0.24137931,0.459899749,13.75862069,0.918552036,3.810344828,2.206896552,0.702561578,1.104679915,-0.082000175,2.291845896,1.517905195,-0.811438257,-0.211443269,1.477895298,-0.448314307
1,10,0.567757372,Victor Oladipo,IND,PG/SG,Playing - left knee tendinosis,75,34.02866667,23.13333333,2.146666667,5.2,4.306666667,2.36,0.76,0.476900149,17.89333333,0.798913043,4.906666667,2.92,1.596172023,0.732601839,-0.157512091,0.556217186,3.172975692,0.234006555,0.235981718,0.061892623,-1.322519201
1,11,0.566288524,Jimmy Butler,MIN,SG/SF,Playing - right knee injury management,59,36.6779661,22.15254237,1.186440678,5.322033898,4.881355932,1.966101695,0.406779661,0.474484256,15.61016949,0.854117647,7.203389831,1.830508475,1.40120726,-0.330437709,-0.110628689,0.83540741,2.248026844,-0.478021288,0.146652466,1.371284582,0.013105841
1,12,0.565163826,Nikola Jokic,DEN,PF/C,,75,32.54422222,18.46666667,1.48,10.70666667,6.106666667,1.2,0.813333333,0.499009901,13.46666667,0.849840256,4.173333333,2.8,0.668517099,-0.005446329,1.958058013,1.430676539,0.449072975,0.341516837,0.702486812,0.717001775,-1.175409286
2,13,0.54078093,DeMarcus Cousins,NOR,PF/C,,48,36.19097222,25.20833333,2.166666667,12.85416667,5.354166667,1.645833333,1.583333333,0.469907407,18,0.746192893,8.208333333,5.041666667,2.008647159,0.754743284,2.783091935,1.065103948,1.495975241,1.893696535,0.020004608,-1.230730127,-3.923504214
2,14,0.48131987,Kyrie Irving,BOS,PG/SG,Off Injury Report - left adductor tightness,60,32.18916667,24.43333333,2.766666667,3.783333333,5.1,1.083333333,0.283333333,0.49126035,18.11666667,0.888888889,4.35,2.333333333,1.854590181,1.418986635,-0.701771954,0.941627049,0.175117242,-0.726866591,0.687103529,1.286407914,-0.603315175
2,15,0.438574828,Andre Ingram,LAL,SG,,2,32.06666667,12,2.5,3,3.5,1.5,1.5,0.470588235,8.5,1,1.5,1.5,-0.616947581,1.123767368,-1.002715643,0.164329847,1.153530574,1.725711719,0.043550235,0.937665477,0.418281452
2,16,0.402389529,Paul George,OKC,SG/SF/PF,,79,36.59198312,21.94936709,3.088607595,5.658227848,3.329113924,2.037974684,0.493670886,0.429850746,16.96202532,0.822384428,5.202531646,2.683544304,1.360819427,1.775398503,0.018531457,0.081311554,2.416798421,-0.302864411,-1.150479667,0.454634867,-1.032644391
2,17,0.38236046,MarShon Brooks,MEM,SG,,7,27.51190476,20.14285714,2.714285714,3,3.571428571,1.571428571,0.428571429,0.5,14.57142857,0.869565217,3.285714286,2.285714286,1.001715603,1.360997136,-1.002715643,0.199030615,1.321258574,-0.434093055,0.781252481,0.758736653,-0.544938225
2,18,0.379369384,LaMarcus Aldridge,SAS,PF/C,,75,33.45022222,23.13333333,0.36,8.466666667,2.026666667,0.573333333,1.2,0.510022272,17.96,0.837092732,5.32,1.48,1.596172023,-1.245367251,1.097487123,-0.551431327,-1.022460677,1.120966382,1.262784636,0.713373779,0.442799771
2,19,0.349636734,Kristaps Porzingis,NYK,PF/C,,48,32.35902778,22.66666667,1.875,6.583333333,1.1875,0.75,2.395833333,0.438695163,18.52083333,0.792727273,5.729166667,1.9375,1.503406531,0.43184721,0.373941658,-0.959107516,-0.607613424,3.531548489,-0.977860713,-0.031374855,-0.118056777
2,20,0.316658919,Otto Porter,WAS,SF/PF,Injured - right ankle aprain left foot second toe dislocation (0g) - 12/27/2022,77,31.57943723,14.72727273,1.792207792,6.38961039,2.038961039,1.506493506,0.532467532,0.502824859,11.49350649,0.828125,1.662337662,0.974025974,-0.074811587,0.340190254,0.299516512,-0.545458589,1.168778574,-0.224657441,0.681885709,0.141405436,1.063081402
2,21,0.312456868,Jrue Holiday,NOR,PG/SG,Questionable - noncovid illness,81,36.13333333,18.97530864,1.481481481,4.50617284,6,1.518518519,0.790123457,0.49437299,15.35802469,0.785714286,2.938271605,2.62962963,0.769626578,-0.003806222,-0.424068991,1.378856725,1.197015611,0.294729955,0.671893926,-0.105586235,-0.966549532
2,22,0.285353538,Andre Drummond,DET,PF/C,,78,33.6542735,15.01282051,0,15.98717949,3.038461538,1.461538462,1.628205128,0.528944381,11.29487179,0.605063291,5.064102564,2.564102564,-0.018049485,-1.643913262,3.986743555,-0.0598905,1.063215498,1.984149897,1.179763743,-3.037618744,-0.886218857
2,23,0.284318155,Kawhi Leonard,SAS,SG/SF,,9,23.31666667,16.22222222,1.222222222,4.666666667,2.333333333,2,1,0.468468468,12.33333333,0.815789474,4.222222222,1.777777778,0.222359255,-0.290824954,-0.362409922,-0.402449363,2.327626573,0.717802825,-0.002516387,0.271526122,0.077749243
2,24,0.269054403,Russell Westbrook,OKC,PG,,80,36.42166667,25.35,1.2125,10.05,10.25,1.8375,0.25,0.448725548,21.0875,0.736749117,7.075,4.7625,2.036808112,-0.301588157,1.705777558,3.443552419,1.946045374,-0.794060517,-0.754866616,-1.278909204,-3.581269344
3,25,0.268040931,Khris Middleton,MIL,SG/SF,Probable - left ankle sprain,82,36.36768293,20.14634146,1.780487805,5.231707317,4,1.451219512,0.256097561,0.466194969,15.51219512,0.883977901,4.414634146,2.329268293,1.002408227,0.327215382,-0.145330665,0.407235223,1.038984623,-0.781768946,-0.075776817,1.237733132,-0.598331777
3,26,0.26341776,Kevin Love,CLE,PF/C,Questionable - low back soreness,59,27.98644068,17.61016949,2.322033898,9.254237288,1.745762712,0.728813559,0.406779661,0.458161866,12.3559322,0.879699248,4.508474576,1.525423729,0.498259852,0.926746035,1.400058708,-0.687897488,-0.657363254,-0.478021288,-0.222266124,1.204129304,0.387114098
3,27,0.258451669,Nikola Vucevic,ORL,PF/C,,57,29.52953216,16.47368421,1.122807018,9.175438596,3.350877193,0.98245614,1.087719298,0.475,14.73684211,0.819148936,1.649122807,1.912280702,0.272345673,-0.400884769,1.369785556,0.091884384,-0.061761775,0.894628946,0.154114751,0.093092289,-0.087140037
3,28,0.25689089,Kemba Walker,CHA,PG,,80,34.199375,22.125,2.8875,3.1,5.55,1.1375,0.3,0.431401321,17.0375,0.864285714,5.25,2.2375,1.395732299,1.552757865,-0.9642973,1.160241887,0.302310975,-0.693269628,-1.110234118,1.154607592,-0.485831563
3,29,0.251094518,Kyle Lowry,TOR,PG,,78,32.175,16.24358974,3.051282051,5.564102564,6.884615385,1.08974359,0.243589744,0.42690678,12.1025641,0.85440613,3.346153846,2.346153846,0.226606759,1.73407643,-0.017629918,1.80861239,0.190169755,-0.806982426,-0.869241468,0.613271185,-0.619032046
3,30,0.234683992,Rudy Gobert,UTA,C,,56,32.43005952,13.5,0,10.73214286,1.428571429,0.785714286,2.303571429,0.621621622,7.928571429,0.682274247,5.339285714,1.910714286,-0.318772784,-1.643913262,1.967845543,-0.841992424,-0.523749424,3.3455653,2.109220481,-1.896827761,-0.085219743
3,31,0.223827528,Joel Embiid,PHI,PF/C,,63,30.3537037,22.93650794,1.047619048,10.95238095,3.158730159,0.634920635,1.761904762,0.482954545,16.76190476,0.768736617,7.412698413,3.714285714,1.557046441,-0.484123284,2.05245737,-0.001462711,-0.877841868,2.253663997,0.398997995,-0.588043461,-2.296246729
3,32,0.21886501,Draymond Green,GSW,SF/PF/C,Probable - left ankle sprain,70,32.66809524,11.04285714,1.1,7.642857143,7.257142857,1.342857143,1.3,0.453957997,8.842857143,0.774566474,2.471428571,2.885714286,-0.807211499,-0.426133785,0.780993152,1.989590241,0.784528975,1.322548161,-0.210197662,-0.183844694,-1.280487797
3,33,0.216004228,Eric Bledsoe,MIL,PG/SG,,74,31.37432432,17.74324324,1.689189189,3.837837838,5,2.013513514,0.567567568,0.473205258,13.36486486,0.794952681,4.283783784,2.918918919,0.524712678,0.226141217,-0.680832227,0.893045974,2.359358897,-0.153902165,0.102647714,-0.005940146,-1.321193886
3,34,0.206425387,Gary Harris,DEN,SG/SF,Questionable - right hamstring strain,67,34.39502488,17.46268657,2.328358209,2.626865672,2.895522388,1.820895522,0.223880597,0.484581498,13.55223881,0.827160494,2.417910448,1.776119403,0.468942724,0.933747504,-1.146067671,-0.129331876,1.907054872,-0.846712475,0.369379183,0.221033954,0.079782271
3,35,0.200300032,Clint Capela,HOU,PF/C,Questionable - left achilles soreness,74,27.48851351,13.86486486,0,10.83783784,0.918918919,0.783783784,1.851351351,0.652366864,9.135135135,0.560311284,3.472972973,1.391891892,-0.24624378,-1.643913262,2.008451804,-1.089587092,-0.528282613,2.433972024,2.907702117,-2.590211819,0.550812907
3,36,0.197662098,Robert Covington,PHI,SF/PF,,80,31.636875,12.6125,2.5375,5.4125,1.95,1.7125,0.9,0.412679426,10.45,0.852941176,1.7,1.575,-0.495192873,1.165282577,-0.075873112,-0.588676818,1.652521374,0.516221046,-1.000758975,0.279097906,0.326337756
4,37,0.179004142,Klay Thompson,GSW,SG/SF,,73,34.30365297,20.01369863,3.136986301,3.794520548,2.534246575,0.753424658,0.465753425,0.487701442,16.15068493,0.836734694,1.342465753,1.753424658,0.97604106,1.828957227,-0.697474012,-0.30484355,-0.59957167,-0.359140926,0.518355351,0.14110968,0.107604122
4,38,0.161048926,Bradley Beal,WAS,SG,Injured - hamstring strain (0g) - 12/14/2022,82,36.30203252,22.64634146,2.426829268,4.426829268,4.548780488,1.170731707,0.43902439,0.460242588,18.09756098,0.791327913,4.5,2.609756098,1.499366222,1.042762081,-0.454551477,0.673838684,0.380345404,-0.413021789,-0.281835482,-0.055277055,-0.942186252
4,39,0.145585043,Hassan Whiteside,MIA,C,,54,25.26296296,13.96296296,0.037037037,11.44444444,1,0.685185185,1.740740741,0.539792388,10.7037037,0.703296703,3.37037037,1.703703704,-0.226743526,-1.602910586,2.241500012,-1.050197032,-0.759811053,2.211001187,1.320691792,-0.991823244,0.168557832
4,40,0.137135832,Nikola Mirotic,NOR,SF/PF,,55,27.16333333,15.61818182,2.454545455,7.363636364,1.454545455,0.8,0.709090909,0.447368421,12.43636364,0.817518248,2.490909091,1.127272727,0.102286172,1.073445902,0.673721155,-0.829373963,-0.490203824,0.131383104,-0.455545205,0.15329539,0.875213762
4,41,0.126154993,Tobias Harris,LAC,SF/PF,,80,33.351875,18.575,2.2875,5.4625,2.4,0.8875,0.4375,0.46027846,15.2625,0.828703704,2.7,1.3125,0.690051946,0.888514514,-0.05666394,-0.37006198,-0.284737024,-0.416094682,-0.229580609,0.265826019,0.648140693
4,42,0.12448268,Marc Gasol,MEM,C,,73,32.99063927,17.23287671,1.493150685,8.109589041,4.178082192,0.739726027,1.383561644,0.420135528,14.15068493,0.833827893,4.616438356,2.657534247,0.423260386,0.009112429,0.960303815,0.493749466,-0.631738684,1.49099321,-1.189353726,0.564775469,-1.000758247
4,43,0.114848192,Al Horford,BOS,PF/C,Out,72,31.62546296,12.875,1.347222222,7.361111111,4.708333333,0.597222222,1.083333333,0.488711819,10.45833333,0.783333333,1.666666667,1.833333333,-0.443012283,-0.152440923,0.672750994,0.751351171,-0.966364979,0.88578764,0.369994883,-0.09407558,0.009642801
4,44,0.104852061,Lou Williams,LAC,PG/SG,,79,32.77552743,22.55696203,2.35443038,2.506329114,5.278481013,1.075949367,0.240506329,0.435302917,16.92405063,0.879837067,6.215189873,2.962025316,1.481599091,0.96261128,-1.192375819,1.028335044,0.157778272,-0.813198028,-0.988640735,1.681598154,-1.374038707
4,45,0.100160729,Tyreke Evans,MEM,PG/SG/SF,,52,30.90705128,19.42307692,2.192307692,5.096153846,5.173076923,1.096153846,0.326923077,0.452410383,15.55769231,0.784688995,4.019230769,2.25,0.858635389,0.783129752,-0.197408063,0.977128604,0.205222268,-0.638997611,-0.446047771,-0.139060497,-0.501155512
4,46,0.095818519,Darren Collison,IND,PG/SG,,69,29.25386473,12.39130435,1.391304348,2.579710145,5.333333333,1.333333333,0.217391304,0.495297806,9.246376812,0.881944444,2.086956522,1.246376812,-0.539162852,-0.103638825,-1.164184043,1.054982891,0.762165241,-0.859793706,0.437454754,0.54534105,0.729202165
4,47,0.084334431,DeMar DeRozan,TOR,SG/SF,,80,33.898125,23,1.1125,3.9375,5.2125,1.0625,0.275,0.456475584,17.6625,0.824686941,6.9875,2.1875,1.569667597,-0.412295382,-0.642543675,0.996280759,0.126196575,-0.743665073,-0.388726884,0.678631725,-0.424535765
4,48,0.082990069,Devin Booker,PHO,PG/SG,Out - left hamstring tightness (0g) - 12/15/2022,54,34.54537037,24.92592593,2.722222222,4.518518519,4.685185185,0.87037037,0.259259259,0.431688805,19.51851852,0.878419453,6.092592593,3.592592593,1.952509312,1.369783424,-0.419325986,0.740105552,-0.324960683,-0.775395538,-1.268884205,1.620139932,-2.14706119
5,49,0.075554401,Enes Freedom,NYK,C,,71,25.77159624,14.08450704,0,10.98591549,1.478873239,0.507042254,0.521126761,0.591865358,10.04225352,0.847826087,2.591549296,1.718309859,-0.202582605,-1.643913262,2.065340785,-0.817555263,-1.17812486,-0.24751837,2.143901414,0.409789859,0.150651913
5,50,0.067047716,C.J. McCollum,POR,PG/SG,,81,36.09074074,21.38271605,2.333333333,3.962962963,3.358024691,0.950617284,0.432098765,0.443189369,18.58024691,0.836,3.086419753,1.864197531,1.248178721,0.939255326,-0.632761226,0.095356716,-0.136525523,-0.426982587,-0.83710956,0.382211687,-0.028194111
5,51,0.063234269,Ben Simmons,PHI,PG/SF/PF,Off Injury Report,81,33.72633745,15.79012346,0,8.135802469,8.160493827,1.728395062,0.864197531,0.54509018,12.32098765,0.560117302,4.209876543,3.432098765,0.13646528,-1.643913262,0.97037458,2.428447855,1.689846031,0.444049791,1.625927859,-3.131780468,-1.950309247
5,52,0.061229275,Will Barton,DEN,SG/SF,Off Injury Report - left foot soreness,81,33.1218107,15.65432099,1.925925926,5.049382716,4.086419753,1.012345679,0.641975309,0.45233463,12.69135802,0.805309735,2.790123457,1.839506173,0.109470031,0.48822589,-0.215376756,0.449218868,0.0084246,-0.003909717,-0.357106212,0.070041354,0.002075419
5,53,0.051386375,Josh Richardson,MIA,PG/SG/SF,,81,33.2026749,12.90123457,1.567901235,3.518518519,2.851851852,1.49382716,0.925925926,0.450847458,10.92592593,0.845070423,1.75308642,1.728395062,-0.437797292,0.091866688,-0.803509419,-0.150547492,1.139035562,0.568482988,-0.329100635,0.245758667,0.138288303
5,54,0.019061625,Donovan Mitchell,UTA,PG/SG,Questionable - right lower leg soreness,79,33.39135021,20.4556962,2.367088608,3.746835443,3.683544304,1.493670886,0.341772152,0.436857562,17.24050633,0.804713805,3.759493671,2.721518987,1.063902751,0.976624853,-0.715793839,0.253497643,1.1386686,-0.609064581,-0.961749371,0.104666727,-1.079198161
