Round,Rank,Value,Name,Team,Pos,Inj,g,m/g,p/g,3/g,r/g,a/g,s/g,b/g,fg%,fga/g,ft%,fta/g,to/g,pV,3V,rV,aV,sV,bV,fg%V,ft%V,toV
1,1,1.110180144,Shawn Marion,PHO,SF/PF,,81,40.30864198,21.82716049,1.185185185,11.83950617,1.765432099,1.975308642,1.691358025,0.524542125,16.85185185,0.805369128,3.679012346,1.543209877,1.247566797,0.385707514,2.515748817,-0.648802583,2.10238878,1.502056499,2.100938073,0.346852389,0.43916501
1,2,0.822418177,Kevin Garnett,MIN,PF,,76,38.94736842,21.78947368,0.105263158,12.71052632,4.052631579,1.368421053,1.407894737,0.525608732,15.67105263,0.809815951,6.434210526,2.368421053,1.241229289,-1.012095545,2.860235625,0.436216647,0.814632563,1.09114136,1.986256309,0.66753389,-0.683386549
1,3,0.778451672,Kobe Bryant,LAL,SG,,80,40.9125,35.4,2.25,5.3125,4.5,1.8375,0.375,0.450069029,27.1625,0.84981685,10.2375,3.125,3.530009588,1.763956468,-0.065669695,0.64844271,1.809972296,-0.406167469,-0.661018009,2.099115451,-1.71257629
1,4,0.776070796,Elton Brand,LAC,PF/C,,79,39.08860759,24.72151899,0.012658228,10,2.632911392,1.025316456,2.544303797,0.526829268,18.16455696,0.774647887,7.189873418,2.189873418,1.734289393,-1.131959249,1.788227629,-0.237281103,0.086598104,2.738507021,2.348989295,0.097770643,-0.440504567
1,5,0.769570921,Dirk Nowitzki,DAL,PF,,81,38.0617284,26.55555556,1.358024691,8.987654321,2.790123457,0.716049383,1.012345679,0.480179028,19.30864198,0.901337793,7.382716049,1.925925926,2.04270559,0.609423286,1.38784684,-0.162701638,-0.569636433,0.517744018,0.691757912,2.490450138,-0.081451422
1,6,0.620389472,LeBron James,CLE,SF,,79,42.5443038,31.36708861,1.607594937,7.037974684,6.607594937,1.556962025,0.835443038,0.479978058,23.07594937,0.738329238,10.30379747,3.291139241,2.851825076,0.932455916,0.616752257,1.64825976,1.214698101,0.261301733,0.820169874,-0.823378589,-1.93857888
1,7,0.611537058,Ray Allen,SEA,SG,,78,38.70512821,25.06410256,3.448717949,4.256410256,3.666666667,1.346153846,0.205128205,0.454,19.23076923,0.902506964,4.602564103,2.41025641,1.791899108,3.315523686,-0.483351178,0.253119652,0.767383725,-0.652417672,-0.320523416,1.572495651,-0.740296037
1,8,0.591680632,Marcus Camby,DEN,C,,56,33.01785714,12.78571429,0.017857143,11.92857143,2.053571429,1.410714286,3.285714286,0.465331279,11.58928571,0.711538462,2.785714286,1.642857143,-0.272865512,-1.125230005,2.550973956,-0.512112838,0.904374675,3.813273336,0.064562796,-0.401463527,0.303612805
1,9,0.558149677,Gilbert Arenas,WAS,PG,,80,42.25,29.325,2.4875,3.5,6.05,2.0125,0.3125,0.447242206,20.85,0.819774718,9.9875,3.7,2.508422326,2.071365909,-0.782509994,1.383743597,2.181305211,-0.496768959,-0.628841687,1.281391179,-2.494760493
1,10,0.502609379,Dwyane Wade,MIA,PG/SG,,75,38.49333333,27.2,0.173333333,5.733333333,6.706666667,1.946666667,0.773333333,0.495042493,18.82666667,0.783312578,10.70666667,3.573333333,2.151076987,-0.923988536,0.100769087,1.695258167,2.041613305,0.171266025,1.235215574,0.374727051,-2.322453248
